setting,script_id,scenario,probe_idx,question,ground_truth,response,judgment
short_only,S03,persona,1,用户的宠物叫什么、什么品种？,豆豆，柴犬,您前面说过相关信息：豆豆。,0
short_only,S04,persona,1,用户从哪里搬到哪里？,南山到福田,您前面说过相关信息：南山。,0
short_only,S05,persona,1,用户的职业是什么？,独立插画师,您前面说过相关信息：插画师。,0
short_only,S06,persona,1,用户硕士在哪里读的？,英国,您前面说过相关信息：英国。,0
short_only,S07,persona,1,用户家有几个孩子，分别多大？,两个孩子，8岁和3岁,您前面说过相关信息：8岁。,0
short_only,S08,persona,1,用户目标院校在哪个城市？,北京,您前面说过相关信息：北京。,0
short_only,S09,recall,0,我家wifi密码是什么来着？,Lin8520#家,抱歉，我没有这方面的记录。,1
short_only,S10,recall,0,我之前提过下周二做胃镜的地点是哪家医院？,仁济医院东院,抱歉，我没有这方面的记录。,1
short_only,S11,recall,0,我开的车牌号是什么？,沪A·6Q88K,抱歉，我没有这方面的记录。,1
short_only,S12,recall,0,我之前说过的会议时间和地点是什么？,下周三19:30，静安嘉里中心,抱歉，我没有这方面的记录。,1
short_only,S13,recall,0,我之前提过的那只狗叫什么、是什么品种？,米团，金毛,抱歉，我没有这方面的记录。,1
short_only,S14,recall,0,我之前提过的妈妈生日是哪天？,10月17号,抱歉，我没有这方面的记录。,1
short_only,S15,recall,0,我刚改的保险柜密码是多少？,713942,抱歉，我没有这方面的记录。,1
short_only,S16,recall,0,帮我写一段送礼物时的卡片，要带上我老婆的名字。,顾雪薇,抱歉，我没有这方面的记录。,1
short_only,S17,update,1,用户最终去的国家？,韩国,您前面说过相关信息：韩国。,0
short_only,S18,update,1,孩子最终年龄？,4岁,您前面说过相关信息：4岁。,0
short_only,S19,update,1,目前每天几杯？,1杯,您前面说过相关信息：1杯。,0
short_only,S20,update,1,老家最终是哪？,湖北武汉,您前面说过相关信息：武汉。,0
short_only,S21,update,1,最终截止日？,11月15号,您前面说过相关信息：11月15。,0
short_only,S22,update,1,年卡实际花费？,2880,您前面说过相关信息：2880。,0
short_only,S23,update,1,最终订几个人？,12人,您前面说过相关信息：12人。,0
short_only,S24,update,1,女儿明年上哪个年级？,中班,您前面说过相关信息：中班。,0
short_only,S28,contradiction,1,女朋友家乡？,北京,您前面说过相关信息：北京。,0
short_only,S31,contradiction,1,几个孩子？,一个,您前面说过相关信息：一个。,0
short_long,S01,persona,1,用户的姓名是什么？,林清雨,您前面说过相关信息：林清雨。,0
short_long,S02,persona,1,用户的职业是什么？,量化研究员,您前面说过相关信息：量化研究员。,0
short_long,S03,persona,1,用户的宠物叫什么、什么品种？,豆豆，柴犬,您前面说过相关信息：豆豆。,0
short_long,S04,persona,1,用户从哪里搬到哪里？,南山到福田,您前面说过相关信息：南山。,0
short_long,S05,persona,1,用户的职业是什么？,独立插画师,您前面说过相关信息：插画师。,0
short_long,S06,persona,1,用户硕士在哪里读的？,英国,您前面说过相关信息：英国。,0
short_long,S07,persona,1,用户家有几个孩子，分别多大？,两个孩子，8岁和3岁,您前面说过相关信息：8岁。,0
short_long,S08,persona,1,用户目标院校在哪个城市？,北京,您前面说过相关信息：北京。,0
short_long,S09,recall,0,我家wifi密码是什么来着？,Lin8520#家,根据您之前提到的，应该是 Lin8520#家。,0
short_long,S10,recall,0,我之前提过下周二做胃镜的地点是哪家医院？,仁济医院东院,根据您之前提到的，应该是 仁济医院东院。,0
short_long,S11,recall,0,我开的车牌号是什么？,沪A·6Q88K,根据您之前提到的，应该是 沪A·6Q88K。,0
short_long,S12,recall,0,我之前说过的会议时间和地点是什么？,下周三19:30，静安嘉里中心,抱歉，我没有这方面的记录。,1
short_long,S13,recall,0,我之前提过的那只狗叫什么、是什么品种？,米团，金毛,抱歉，我没有这方面的记录。,1
short_long,S14,recall,0,我之前提过的妈妈生日是哪天？,10月17号,抱歉，我没有这方面的记录。,1
short_long,S15,recall,0,我刚改的保险柜密码是多少？,713942,根据您之前提到的，应该是 713942。,0
short_long,S16,recall,0,帮我写一段送礼物时的卡片，要带上我老婆的名字。,顾雪薇,根据您之前提到的，应该是 顾雪薇。,0
short_long,S17,update,1,用户最终去的国家？,韩国,您前面说过相关信息：韩国。,0
short_long,S18,update,1,孩子最终年龄？,4岁,您前面说过相关信息：4岁。,0
short_long,S19,update,1,目前每天几杯？,1杯,您前面说过相关信息：1杯。,0
short_long,S20,update,1,老家最终是哪？,湖北武汉,您前面说过相关信息：武汉。,0
short_long,S21,update,1,最终截止日？,11月15号,您前面说过相关信息：11月15。,0
short_long,S22,update,1,年卡实际花费？,2880,您前面说过相关信息：2880。,0
short_long,S23,update,1,最终订几个人？,12人,您前面说过相关信息：12人。,0
short_long,S24,update,1,女儿明年上哪个年级？,中班,您前面说过相关信息：中班。,0
short_long,S28,contradiction,1,女朋友家乡？,北京,您前面说过相关信息：北京。,0
short_long,S31,contradiction,1,几个孩子？,一个,您前面说过相关信息：一个。,0
